Date,VNIndex,DJIA,Interest rate,Exchange rate,rVNIndex,rDJIA
30/11/2022,"1,032.16","33,795.43",7.16,"23,693",2.597982071,-0.154841838
29/11/2022,"1,005.69","33,847.80",5.46,"23,698",3.462905755,-0.992523275
28/11/2022,971.46,"34,185.42",4.64,"23,703",2.475154624,-0.080762057
25/11/2022,947.71,"34,213.04",4.04,"23,700",0.180597923,0.35567183
24/11/2022,946,"34,091.57",3.03,"23,688",-0.644850822,0.829204408
23/11/2022,952.12,"33,810.05",3.23,"23,688",-0.891906141,0.116127568
22/11/2022,960.65,"33,770.81",4.1,"23,682",-0.899497251,0.487464121
21/11/2022,969.33,"33,606.59",4.92,"23,663",0.007221744,0.985571103
18/11/2022,969.26,"33,277.00",5.48,"23,637",2.757266128,-0.831732982
17/11/2022,942.9,"33,554.93",6.51,"23,586",3.342989753,-0.742403562
16/11/2022,911.9,"33,804.97",7.02,"23,541",-3.145531171,0.471454644
15/11/2022,941.04,"33,645.97",7.47,"23,541",-1.423342609,-0.450094557
14/11/2022,954.53,"33,797.75",6.61,"23,497",0.766657977,1.592120674
11/11/2022,947.24,"33,263.91",7.86,"23,480",-2.987935527,0.783001865
10/11/2022,975.97,"33,004.47",8.44,"23,451",-0.580298111,0.212044448
9/11/2022,981.65,"32,934.56",7.88,"23,432",0.660250554,1.376720587
8/11/2022,975.19,"32,484.25",5.26,"23,422",-2.226888619,0.677199517
7/11/2022,997.15,"32,265.01",4.93,"23,422",-1.105038721,0.871475519
4/11/2022,"1,008.23","31,985.05",4.98,"23,417",-1.472887975,-1.831581004
3/11/2022,"1,023.19","32,576.28",5.06,"23,417",-1.026776938,-1.072709938
2/11/2022,"1,033.75","32,927.61",5.16,"23,423",0.563616778,0.779215536
1/11/2022,"1,027.94","32,672.03",5.12,"23,412",-0.029180325,1.441906567
31/10/2022,"1,028.24","32,204.31",5.08,"23,400",0.022370821,0.442439973
28/10/2022,"1,028.01","32,062.14",4.89,"23,400",3.428703749,1.014733025
27/10/2022,993.36,"31,738.44",4.68,"23,371",-0.435949381,0.869565331
26/10/2022,997.7,"31,463.65",4.61,"23,346",1.164415707,0.675401683
25/10/2022,986.15,"31,251.86",4.26,"23,346",-3.357294727,3.122231338
24/10/2022,"1,019.82","30,291.18",4.25,"23,334",-3.717943269,-0.397805579
21/10/2022,"1,058.45","30,411.92",4.21,"23,324",0.218482157,-0.089135822
20/10/2022,"1,056.14","30,439.04",4.17,"23,324",-0.709503873,-1.160913336
19/10/2022,"1,063.66","30,794.47",4.2,"23,316",1.142199593,2.415371623
18/10/2022,"1,051.58","30,059.58",4.29,"23,301",-0.971887485,-0.394601861
17/10/2022,"1,061.85","30,178.43",4.62,"23,301",1.02800928,4.828690149
14/10/2022,"1,050.99","28,755.83",5.9,"23,295",1.551474212,-1.645973131
13/10/2022,"1,034.81","29,233.06",6.88,"23,283",2.803697591,0.507080687
